title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
,Just put it on I felt a bit cool... The one with headaches what am I going to take off,5,2024-01-23 00:00:00 UTC,judge-me,ok,Melvin Pfannerstill,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A2936fef30a5443709f2118f9248250a3j.jpg,,,review-522832fc-7274-499e-84ec-3e04de46504e
,"The broken bag came, although the hat did not have details. It has a very good trim and is cool even at room temperature.",5,2024-02-21 00:00:00 UTC,judge-me,ok,Lon Runte,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A75620f97386f4fc3874f4cf136fac60an.jpg,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A092ba81059554c2cacbf1475276f1fbeR.jpg,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A4fea1715a2594bbfbc760f11372e6d2cC.jpg",,,review-35b398bb-c8fe-4f53-a7d6-6a649d6d28a7
,The order arrived now to test it thanks to the seller,5,2024-02-10 00:00:00 UTC,judge-me,ok,Leonel Shields,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A608e292783ee4148be222d76576ea275j.jpg,,,review-52612259-0baa-4620-bd74-f7c0492af9f0
,"I arrived very fast, I loved good product, thank you",5,2024-03-04 00:00:00 UTC,judge-me,ok,Addison Maggio,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/Adc33a79088fe48b996517acb16d74a75q.jpg,,,review-d897b04b-fcc6-4bef-8d62-acefc3b65ea7
,"Arrived in a week in good condition, I would only add a ziploc-type bag to put in the refrigerator, it has a few small spats but it looks good quality, I still don't use it for headache but if it feels very fresh",5,2024-02-23 00:00:00 UTC,judge-me,ok,Halie Rohan,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A49267a3e0a4b492795d9962c311d1795v.jpg,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/Ab2f949b9913e439cacfa5c97d7b42cadp.jpg,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A81c0588687344fdeb85e055d9e5b54b50.jpg",,,review-6c13df95-7040-47d8-ba91-c87732f31cc4
,"This business is wonderful could have for the neck TBM, I am using ice cream is super worth and still relaxes a lot",5,2024-01-25 00:00:00 UTC,judge-me,ok,Charlotte Erdman,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/Ad0049d2e1d634199b736ea3a040f4f51l.jpg,,,review-6d3e9648-9ff4-4d40-bb54-d93e0ae9eab9
,"Super fast delivery!!
I haven't tested it looks good yet",5,2024-01-22 00:00:00 UTC,judge-me,ok,Krista Anderson,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/Aead71a632acd47878da3e31334c4a9d0V.jpg,,,review-83de4662-cd44-446f-8ec1-432581f62dca
,"The package arrived open and the edges of the product are quite poorly finished, it seems that the seams will break at any time",4,2024-02-16 00:00:00 UTC,judge-me,ok,Toni Hansen,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/Ac648618a3dff4042a076ef49b4cba796i.jpg,,,review-9977829e-3a57-4518-ab5d-69c9d9b424c5
,Too much! It's super fresh it feels too good,5,2024-01-12 00:00:00 UTC,judge-me,ok,Ashly Dare,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A1c6544292a8443d9b3831f413c6e4918b.jpg,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A6ec56afad7ea43e18446161fb32a4efcc.jpg",,,review-d510bfdd-4dce-4cee-825f-1832db9bb8e8
,Thank you,5,2024-01-09 00:00:00 UTC,judge-me,ok,Kendall Bartell,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://github.com\gsardar\AliTOGit\raw\master\images/cold-head-wrap/A6e08154ab13d4f14b59d33fbbc32a06cA.jpg,,,review-b6560409-59bb-44b6-a24c-fc37eacddd88
