title,body,rating,review_date,source,curated,reviewer_name,reviewer_email,product_id,product_handle,reply,reply_date,picture_urls,ip_address,location,metaobject_handle
,"I loved it, I used it in a migraine crisis and it helped me a lot... I pointed out now to everyone.",5,2024-06-03 00:00:00 UTC,aliexpress,ok,Keira Buckridge,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A126b7b284303477ca109f5e5e2f9c7a2z.jpg,,,review-6292d09b-9502-4190-a1f9-b6b091bdaa14
,"The parcel reached California in 8 days. The quality seems to be good. The gel inside is a little cool even without a refrigerator. The mask is not like a feather, it has some weight and pleasantly squeezes the head. But, unfortunately, the seams are not of such high quality. The threads are sticking out. Let's see how long the mask will last.",5,2024-04-26 00:00:00 UTC,aliexpress,ok,Jeramie Sauer,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Acd78537cf65a44349814e274fc9513c7D.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A69c9dbb4040941a8b025ce927d368c24m.jpg",,,review-1f1f8195-10f0-4399-85d9-5ca530ac153e
,"Arrived in good weather, the item looks good, second time I order, well packed, arrived in combined package, but good, the quality looks good, I will test them and make the comment of their performance, but the first one is very good to recover",5,2024-06-28 00:00:00 UTC,aliexpress,ok,Eunice Price,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A452084184f334fea8711fdefedda2084D.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A160debcb9a7c4234a84396c2ee61403eP.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Ad1699c632f684aceaff2bc34d177097e5.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Ae292025894db4bc99bc0d9a6a0bce3e7r.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A7aa05e870dfa4975b6e9ac8d3bb64e577.jpg",,,review-625d0dc7-23f2-49ae-8336-da74f81e1e68
,Good product. Cool the front very well. I recommend it,5,2024-04-02 00:00:00 UTC,aliexpress,ok,Rosalind Dibbert,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A4cd21c22a6dc482b9137897014ea91dej.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Ab42ef0f101a146cc846f7f1f6a3193f6S.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A59932479d80b448ebff785a1beaf24f49.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A027138fc99e541f79799864717d965d8j.jpg",,,review-f4391a4f-8f13-47bb-93f7-e43d86b9c2ae
,"Fast delivery. Workmanship is very good. Gel inserts are both front and back. The cap is quite heavy but in a good sense. It fits well on the head and ""covers"" it. To feel the chill and this feeling brings relief.",5,2024-03-29 00:00:00 UTC,aliexpress,ok,Leopold Fadel,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A8ddbb36a9fa44e83ae9771c327be6f5er.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A7497b80215214492a31a2c0af0f022916.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A2fd36109b22d4a10bc587034232c99947.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Af37cb8d45876414682b502796db7e8e1E.jpg",,,review-ce01bb1b-bd8b-429d-b11a-11974ef8c43b
,Just put it on I felt a bit cool... The one with headaches what am I going to take off,5,2024-01-23 00:00:00 UTC,aliexpress,ok,Melvin Pfannerstill,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A2936fef30a5443709f2118f9248250a3j.jpg,,,review-d37703fb-1f8f-4b9e-bd90-06dc0190b0aa
,"gel hat/mask is as advertised. I recommend the double gel mask (front and back), it provides me better migraine relief than just frontal gel mask. yes, I have tried single gel mask, double gel is definitely better for pain relief. fast shipping and delivery, highly recommended 👍",5,2024-06-11 00:00:00 UTC,aliexpress,ok,Bailey Walsh,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A2407a45a800b4fba98ec0328b73f9b17g.jpg,,,review-de3e131d-b498-4432-ae34-5b92549ebf7d
,"Smooth, fit well into a normal head, elastic, cool fast and hold long enough",5,2024-05-10 00:00:00 UTC,aliexpress,ok,Elliot Windler,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Aabca80b43e6b4a19aab635826aaa3252f.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A5e0faa33f83544699a1cb0ce64e18ef1Y.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\Aff765db7f47246f69a19ea9ba041d8a8e.jpg",,,review-02f64c89-531e-4026-8c8a-ddfbe0d71c88
,"Well packed, and I arrive soon, how bad my husband is stubborn and squeezes him a lot.",5,2024-06-14 00:00:00 UTC,aliexpress,ok,Kailey Lebsack,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A6dce1f4670d247998af4f646481af017N.jpg,,,review-1f378069-30e1-40e7-852e-9ab2c019af51
,"The broken bag came, although the hat did not have details. It has a very good trim and is cool even at room temperature.",5,2024-02-21 00:00:00 UTC,aliexpress,ok,Lon Runte,support+anonymous@judge.me,9551210381604,cold-head-wrap,,,"https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A092ba81059554c2cacbf1475276f1fbeR.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A4fea1715a2594bbfbc760f11372e6d2cC.jpg, https://raw.githubusercontent.com/gsardar/AliTOGit/master/images\cold-head-wrap\A75620f97386f4fc3874f4cf136fac60an.jpg",,,review-80571791-2f4b-487c-81fe-da775eb38a53
